호선,역사명,방향,주중주말,평균배차간격_분,최소배차간격_분,최대배차간격_분,표준편차,측정횟수
5,거여,DOWN,END,12.890873015873016,4.333333333333333,21.166666666666668,2.0623633860266866,84
5,거여,DOWN,SAT,12.890873015873016,4.333333333333333,21.166666666666668,2.0623633860266866,84
5,거여,UP,DAY,11.46875,5.0,25.5,3.3061445983597206,96
5,거여,UP,END,13.5875,13.0,25.5,2.0372713819087296,80
5,거여,UP,SAT,13.5875,13.0,25.5,2.0372713819087296,80
5,고덕,DOWN,DAY,10.962962962962964,3.3333333333333335,17.0,3.116370675634826,99
5,고덕,DOWN,END,12.955823293172692,4.833333333333333,17.5,1.6566946263343367,83
5,고덕,DOWN,SAT,12.955823293172692,4.833333333333333,17.5,1.6566946263343367,83
5,고덕,UP,DAY,10.70873786407767,2.5,27.0,4.191866180272529,103
5,고덕,UP,END,13.617283950617283,13.0,24.5,1.9957323294630964,81
5,고덕,UP,SAT,13.617283950617283,13.0,24.5,1.9957323294630964,81
5,공덕,DOWN,DAY,5.620898100172711,2.5,9.0,1.504451611776891,193
5,공덕,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,공덕,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,공덕,UP,DAY,5.653780068728523,2.5,12.5,1.6793061407331893,194
5,공덕,UP,END,6.761316872427983,6.5,11.666666666666666,0.8387765382763328,162
5,공덕,UP,SAT,6.761316872427983,6.5,11.666666666666666,0.8387765382763328,162
5,광나루,DOWN,DAY,5.697048611111111,2.5,15.0,1.8374386762121915,192
5,광나루,DOWN,END,6.787784679089026,6.5,15.0,1.1596496683684843,161
5,광나루,DOWN,SAT,6.787784679089026,6.5,15.0,1.1596496683684843,161
5,광나루,UP,DAY,5.670962199312715,2.5,14.0,1.7724167160290372,194
5,광나루,UP,END,6.804526748971193,6.5,13.0,1.0298478997684803,162
5,광나루,UP,SAT,6.804526748971193,6.5,13.0,1.0298478997684803,162
5,광화문,DOWN,DAY,5.652849740932642,2.5,14.166666666666666,1.6166395318782327,193
5,광화문,DOWN,END,6.709876543209877,6.5,14.166666666666666,0.7326449704397632,162
5,광화문,DOWN,SAT,6.709876543209877,6.5,14.166666666666666,0.7326449704397632,162
5,광화문,UP,DAY,5.622625215889465,2.5,12.5,1.6264026761351418,193
5,광화문,UP,END,6.76028806584362,6.5,11.5,0.8328034253124256,162
5,광화문,UP,SAT,6.76028806584362,6.5,11.5,0.8328034253124256,162
5,군자,DOWN,DAY,5.665798611111111,2.5,14.833333333333334,1.7227473590203064,192
5,군자,DOWN,END,6.744306418219462,6.5,14.833333333333334,0.9646586644271549,161
5,군자,DOWN,SAT,6.744306418219462,6.5,14.833333333333334,0.9646586644271549,161
5,군자,UP,DAY,5.667530224525043,2.5,14.0,1.7762170945721896,193
5,군자,UP,END,6.769151138716356,6.5,13.0,0.9290941884664321,161
5,군자,UP,SAT,6.769151138716356,6.5,13.0,0.9290941884664321,161
5,굽은다리,DOWN,DAY,10.962962962962964,3.3333333333333335,17.0,3.116370675634826,99
5,굽은다리,DOWN,END,12.955823293172692,4.833333333333333,17.5,1.6566946263343367,83
5,굽은다리,DOWN,SAT,12.955823293172692,4.833333333333333,17.5,1.6566946263343367,83
5,굽은다리,UP,DAY,10.710355987055015,2.5,27.0,4.192791378691934,103
5,굽은다리,UP,END,13.617283950617283,13.0,24.5,1.9957323294630964,81
5,굽은다리,UP,SAT,13.617283950617283,13.0,24.5,1.9957323294630964,81
5,길동,DOWN,DAY,10.962962962962964,3.3333333333333335,17.0,3.116370675634826,99
5,길동,DOWN,END,13.009920634920636,4.833333333333333,17.5,1.7197084196198802,84
5,길동,DOWN,SAT,13.009920634920636,4.833333333333333,17.5,1.7197084196198802,84
5,길동,UP,DAY,10.648692810457515,2.5,27.0,4.166297466332378,102
5,길동,UP,END,13.525,13.0,24.5,1.8261462500529027,80
5,길동,UP,SAT,13.525,13.0,24.5,1.8261462500529027,80
5,김포공항,DOWN,DAY,5.695876288659794,2.5,18.0,1.7559029990660533,194
5,김포공항,DOWN,END,6.726708074534161,6.5,12.5,0.7765112494335767,161
5,김포공항,DOWN,SAT,6.726708074534161,6.5,12.5,0.7765112494335767,161
5,김포공항,UP,DAY,5.610243055555556,2.5,14.833333333333334,1.6548883460816617,192
5,김포공항,UP,END,6.744791666666667,6.5,14.833333333333334,0.9280401482540982,160
5,김포공항,UP,SAT,6.744791666666667,6.5,14.833333333333334,0.9280401482540982,160
5,까치산,DOWN,DAY,5.645299145299145,2.5,9.0,1.512159330477299,195
5,까치산,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,까치산,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,까치산,UP,DAY,5.6355785837651124,2.5,14.833333333333334,1.6869977379296324,193
5,까치산,UP,END,6.768115942028986,6.5,14.833333333333334,0.9713203201061985,161
5,까치산,UP,SAT,6.768115942028986,6.5,14.833333333333334,0.9713203201061985,161
5,답십리,DOWN,DAY,5.665798611111111,2.5,14.833333333333334,1.7217340275476,192
5,답십리,DOWN,END,6.744306418219462,6.5,14.833333333333334,0.9646586644271549,161
5,답십리,DOWN,SAT,6.744306418219462,6.5,14.833333333333334,0.9646586644271549,161
5,답십리,UP,DAY,5.682130584192441,2.5,14.0,1.7829200648173729,194
5,답십리,UP,END,6.779835390946501,6.5,13.0,0.9361342033691629,162
5,답십리,UP,SAT,6.779835390946501,6.5,13.0,0.9361342033691629,162
5,동대문역사문화공원,DOWN,DAY,5.635416666666667,2.5,14.166666666666666,1.6035723100557897,192
5,동대문역사문화공원,DOWN,END,6.709876543209877,6.5,14.166666666666666,0.7326449704397632,162
5,동대문역사문화공원,DOWN,SAT,6.709876543209877,6.5,14.166666666666666,0.7326449704397632,162
5,동대문역사문화공원,UP,DAY,5.6606529209622,2.5,13.0,1.7059594240535274,194
5,동대문역사문화공원,UP,END,6.76028806584362,6.5,11.5,0.8328034253124256,162
5,동대문역사문화공원,UP,SAT,6.76028806584362,6.5,11.5,0.8328034253124256,162
5,둔촌동,DOWN,DAY,9.930303030303032,2.8333333333333335,16.5,3.281895307356938,110
5,둔촌동,DOWN,END,12.927450980392155,4.333333333333333,21.166666666666668,2.0776027627924094,85
5,둔촌동,DOWN,SAT,12.927450980392155,4.333333333333333,21.166666666666668,2.0776027627924094,85
5,둔촌동,UP,DAY,11.442105263157895,5.0,25.5,3.3133058296385323,95
5,둔촌동,UP,END,13.5875,13.0,25.5,2.0372713819087296,80
5,둔촌동,UP,SAT,13.5875,13.0,25.5,2.0372713819087296,80
5,마곡,DOWN,DAY,5.629533678756476,2.5,9.0,1.5137974467056872,193
5,마곡,DOWN,END,6.726708074534161,6.5,12.5,0.7765112494335767,161
5,마곡,DOWN,SAT,6.726708074534161,6.5,12.5,0.7765112494335767,161
5,마곡,UP,DAY,5.6355785837651124,2.5,14.833333333333334,1.6869977379296324,193
5,마곡,UP,END,6.744791666666667,6.5,14.833333333333334,0.9280401482540982,160
5,마곡,UP,SAT,6.744791666666667,6.5,14.833333333333334,0.9280401482540982,160
5,마장,DOWN,DAY,5.665798611111111,2.5,14.833333333333334,1.7210581417695257,192
5,마장,DOWN,END,6.7520576131687235,6.5,14.833333333333334,0.9667055133054415,162
5,마장,DOWN,SAT,6.7520576131687235,6.5,14.833333333333334,0.9667055133054415,162
5,마장,UP,DAY,5.639032815198619,2.5,13.0,1.6831947094890163,193
5,마장,UP,END,6.779835390946501,6.5,13.0,0.9361342033691629,162
5,마장,UP,SAT,6.779835390946501,6.5,13.0,0.9361342033691629,162
5,마천,DOWN,DAY,9.930303030303032,3.0,16.5,3.279487247204644,110
5,마천,DOWN,END,12.890873015873016,4.333333333333333,21.166666666666668,2.0623633860266866,84
5,마천,DOWN,SAT,12.890873015873016,4.333333333333333,21.166666666666668,2.0623633860266866,84
5,마포,DOWN,DAY,5.620898100172711,2.5,9.0,1.5047400797924007,193
5,마포,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,마포,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,마포,UP,DAY,5.653780068728523,2.5,12.5,1.6793061407331893,194
5,마포,UP,END,6.761316872427983,6.5,11.666666666666666,0.8387765382763328,162
5,마포,UP,SAT,6.761316872427983,6.5,11.666666666666666,0.8387765382763328,162
5,명일,DOWN,DAY,10.962962962962964,3.3333333333333335,17.0,3.116370675634826,99
5,명일,DOWN,END,12.955823293172692,4.833333333333333,17.5,1.6566946263343367,83
5,명일,DOWN,SAT,12.955823293172692,4.833333333333333,17.5,1.6566946263343367,83
5,명일,UP,DAY,10.710355987055015,2.5,27.0,4.192791378691934,103
5,명일,UP,END,13.617283950617283,13.0,24.5,1.9957323294630964,81
5,명일,UP,SAT,13.617283950617283,13.0,24.5,1.9957323294630964,81
5,목동,DOWN,DAY,5.6461538461538465,2.5,9.0,1.5152454612452986,195
5,목동,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,목동,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,목동,UP,DAY,5.665807560137457,2.5,14.833333333333334,1.7344172098334307,194
5,목동,UP,END,6.768115942028986,6.5,14.833333333333334,0.9713203201061985,161
5,목동,UP,SAT,6.768115942028986,6.5,14.833333333333334,0.9713203201061985,161
5,미사,DOWN,DAY,11.617753623188408,4.833333333333333,17.0,2.7026575402557493,92
5,미사,DOWN,END,13.441666666666668,8.166666666666666,31.5,2.4484990666375377,80
5,미사,DOWN,SAT,13.441666666666668,8.166666666666666,31.5,2.4484990666375377,80
5,미사,UP,DAY,12.247191011235955,4.0,27.0,3.9335638382277764,89
5,미사,UP,END,14.30921052631579,13.0,28.0,3.6459723031158258,76
5,미사,UP,SAT,14.30921052631579,13.0,28.0,3.6459723031158258,76
5,발산,DOWN,DAY,5.6286701208981,2.5,9.0,1.512102455403123,193
5,발산,DOWN,END,6.726708074534161,6.5,12.5,0.7765112494335767,161
5,발산,DOWN,SAT,6.726708074534161,6.5,12.5,0.7765112494335767,161
5,발산,UP,DAY,5.6355785837651124,2.5,14.833333333333334,1.6869977379296324,193
5,발산,UP,END,6.768115942028986,6.5,14.833333333333334,0.9713203201061985,161
5,발산,UP,SAT,6.768115942028986,6.5,14.833333333333334,0.9713203201061985,161
5,방이,DOWN,DAY,9.930303030303032,2.8333333333333335,16.5,3.281895307356938,110
5,방이,DOWN,END,12.927450980392155,4.333333333333333,21.166666666666668,2.0776027627924094,85
5,방이,DOWN,SAT,12.927450980392155,4.333333333333333,21.166666666666668,2.0776027627924094,85
5,방이,UP,DAY,11.46875,5.0,25.5,3.3061445983597206,96
5,방이,UP,END,13.5875,13.0,25.5,2.0372713819087296,80
5,방이,UP,SAT,13.5875,13.0,25.5,2.0372713819087296,80
5,방화,UP,DAY,5.610243055555556,2.5,14.833333333333334,1.6548883460816617,192
5,방화,UP,END,6.724318658280922,6.5,14.833333333333334,0.8939921804862844,159
5,방화,UP,SAT,6.724318658280922,6.5,14.833333333333334,0.8939921804862844,159
5,상일동,DOWN,DAY,10.906462585034015,3.3333333333333335,17.0,3.0810050953842736,98
5,상일동,DOWN,END,12.955823293172692,4.833333333333333,17.5,1.6566946263343367,83
5,상일동,DOWN,SAT,12.955823293172692,4.833333333333333,17.5,1.6566946263343367,83
5,상일동,UP,DAY,12.247191011235955,4.0,27.0,3.9335638382277764,89
5,상일동,UP,END,14.30921052631579,13.0,28.0,3.6459723031158258,76
5,상일동,UP,SAT,14.30921052631579,13.0,28.0,3.6459723031158258,76
5,서대문,DOWN,DAY,5.652849740932642,2.5,14.166666666666666,1.6164605384381543,193
5,서대문,DOWN,END,6.709876543209877,6.5,14.166666666666666,0.7326449704397632,162
5,서대문,DOWN,SAT,6.709876543209877,6.5,14.166666666666666,0.7326449704397632,162
5,서대문,UP,DAY,5.622625215889465,2.5,12.5,1.6264026761351418,193
5,서대문,UP,END,6.730848861283643,6.5,11.5,0.7460688901300441,161
5,서대문,UP,SAT,6.730848861283643,6.5,11.5,0.7460688901300441,161
5,송정,DOWN,DAY,5.6312607944732305,2.5,9.0,1.5168941638865021,193
5,송정,DOWN,END,6.726708074534161,6.5,12.5,0.7765112494335767,161
5,송정,DOWN,SAT,6.726708074534161,6.5,12.5,0.7765112494335767,161
5,송정,UP,DAY,5.610243055555556,2.5,14.833333333333334,1.6548883460816617,192
5,송정,UP,END,6.744791666666667,6.5,14.833333333333334,0.9280401482540982,160
5,송정,UP,SAT,6.744791666666667,6.5,14.833333333333334,0.9280401482540982,160
5,신금호,DOWN,DAY,5.635416666666667,2.5,14.166666666666666,1.6035723100557897,192
5,신금호,DOWN,END,6.701863354037267,6.5,14.166666666666666,0.7277748473486854,161
5,신금호,DOWN,SAT,6.701863354037267,6.5,14.166666666666666,0.7277748473486854,161
5,신금호,UP,DAY,5.660652920962199,2.5,13.0,1.7057906821407265,194
5,신금호,UP,END,6.76028806584362,6.5,11.5,0.8328034253124256,162
5,신금호,UP,SAT,6.76028806584362,6.5,11.5,0.8328034253124256,162
5,신길,DOWN,DAY,5.633161512027491,2.5,9.0,1.5074732179550714,194
5,신길,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,신길,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,신길,UP,DAY,5.665807560137457,2.5,14.833333333333334,1.7354956473063674,194
5,신길,UP,END,6.7973251028806585,6.5,14.833333333333334,1.0372162297121155,162
5,신길,UP,SAT,6.7973251028806585,6.5,14.833333333333334,1.0372162297121155,162
5,신정,DOWN,DAY,5.645299145299146,2.5,9.0,1.5125380379090738,195
5,신정,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,신정,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,신정,UP,DAY,5.6355785837651124,2.5,14.833333333333334,1.6869119763425253,193
5,신정,UP,END,6.768115942028986,6.5,14.833333333333334,0.9713203201061985,161
5,신정,UP,SAT,6.768115942028986,6.5,14.833333333333334,0.9713203201061985,161
5,아차산,DOWN,DAY,5.697048611111111,2.5,15.0,1.8356173220012668,192
5,아차산,DOWN,END,6.795267489711934,6.5,15.0,1.1599592296918384,162
5,아차산,DOWN,SAT,6.795267489711934,6.5,15.0,1.1599592296918384,162
5,아차산,UP,DAY,5.670962199312715,2.5,14.0,1.7722543017355716,194
5,아차산,UP,END,6.769151138716356,6.5,13.0,0.9290941884664321,161
5,아차산,UP,SAT,6.769151138716356,6.5,13.0,0.9290941884664321,161
5,애오개,DOWN,DAY,5.620898100172711,2.5,9.0,1.504451611776891,193
5,애오개,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,애오개,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,애오개,UP,DAY,5.622625215889465,2.5,12.5,1.6264026761351418,193
5,애오개,UP,END,6.730848861283643,6.5,11.5,0.7460688901300441,161
5,애오개,UP,SAT,6.730848861283643,6.5,11.5,0.7460688901300441,161
5,양평,DOWN,DAY,5.645299145299145,2.5,9.0,1.5126326999522726,195
5,양평,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,양평,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,양평,UP,DAY,5.665807560137457,2.5,14.833333333333334,1.7340022475963197,194
5,양평,UP,END,6.7973251028806585,6.5,14.833333333333334,1.0372162297121155,162
5,양평,UP,SAT,6.7973251028806585,6.5,14.833333333333334,1.0372162297121155,162
5,여의나루,DOWN,DAY,5.620898100172712,2.5,9.0,1.501467530375092,193
5,여의나루,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,여의나루,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,여의나루,UP,DAY,5.653780068728523,2.5,12.5,1.6793061407331893,194
5,여의나루,UP,END,6.761316872427983,6.5,11.666666666666666,0.8387765382763328,162
5,여의나루,UP,SAT,6.761316872427983,6.5,11.666666666666666,0.8387765382763328,162
5,여의도,DOWN,DAY,5.633161512027491,2.5,9.0,1.5074732179550714,194
5,여의도,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,여의도,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,여의도,UP,DAY,5.618307426597583,2.5,11.666666666666666,1.6084336871099083,193
5,여의도,UP,END,6.761316872427983,6.5,11.666666666666666,0.8387765382763328,162
5,여의도,UP,SAT,6.761316872427983,6.5,11.666666666666666,0.8387765382763328,162
5,영등포구청,DOWN,DAY,5.632302405498282,2.5,9.0,1.5067375348873846,194
5,영등포구청,DOWN,END,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,영등포구청,DOWN,SAT,6.699588477366254,6.5,12.5,0.6320842826967871,162
5,영등포구청,UP,DAY,5.665807560137457,2.5,14.833333333333334,1.7342512368533762,194
5,영등포구청,UP,END,6.7973251028806585,6.5,14.833333333333334,1.0372162297121155,162
5,영등포구청,UP,SAT,6.7973251028806585,6.5,14.833333333333334,1.0372162297121155,162
