구간,방향,복합지표_DAY,복합지표_END,복합지표_SAT,평균배차간격_분_DAY,평균배차간격_분_END,평균배차간격_분_SAT,평균소요시간_분_DAY,평균소요시간_분_END,평균소요시간_분_SAT,복합지표_차이(주중-주말)
봉명 → 쌍용,DOWN,58.75,63.08,63.08,29.38,31.54,31.54,2.0,2.0,2.0,-4.329999999999998
쌍용 → 아산,DOWN,58.75,63.08,63.08,29.38,31.54,31.54,2.0,2.0,2.0,-4.329999999999998
평택 → 성환,DOWN,120.12,124.51,124.51,18.51,19.16,19.16,6.49,6.5,6.5,-4.390000000000001
두정 → 직산,UP,81.07,86.08,86.08,18.06,19.13,19.13,4.49,4.5,4.5,-5.010000000000005
양주 → 덕계,UP,53.38,58.45,58.45,11.86,12.99,12.99,4.5,4.5,4.5,-5.07
아산 → 탕정,DOWN,73.44,78.85,78.85,29.38,31.54,31.54,2.5,2.5,2.5,-5.409999999999997
덕계 → 양주,DOWN,84.93,91.19,91.19,18.87,20.26,20.26,4.5,4.5,4.5,-6.259999999999991
지행 → 덕정,DOWN,84.74,91.19,91.19,18.87,20.26,20.26,4.49,4.5,4.5,-6.450000000000003
덕정 → 지행,UP,84.0,90.49,90.49,18.67,20.11,20.11,4.5,4.5,4.5,-6.489999999999995
탕정 → 배방,DOWN,88.12,94.62,94.62,29.38,31.54,31.54,3.0,3.0,3.0,-6.5
성환 → 평택,UP,117.19,124.34,124.34,18.06,19.13,19.13,6.49,6.5,6.5,-7.150000000000006
배방 → 온양온천,DOWN,117.5,126.15,126.15,29.38,31.54,31.54,4.0,4.0,4.0,-8.650000000000006
온양온천 → 신창,DOWN,132.19,141.92,141.92,29.38,31.54,31.54,4.5,4.5,4.5,-9.72999999999999
청산 → 전곡,UP,146.77,167.7,167.7,48.92,55.9,55.9,3.0,3.0,3.0,-20.92999999999998
소요산 → 동두천,DOWN,171.5,195.0,195.0,49.0,55.71,55.71,3.5,3.5,3.5,-23.5
전곡 → 청산,DOWN,220.5,250.71,250.71,49.0,55.71,55.71,4.5,4.5,4.5,-30.210000000000008
청산 → 소요산,DOWN,269.5,306.43,306.43,49.0,55.71,55.71,5.5,5.5,5.5,-36.93000000000001
전곡 → 연천,UP,367.21,419.25,419.25,48.96,55.9,55.9,7.5,7.5,7.5,-52.04000000000002
당정 → 성균관대,DOWN,,58.69,58.69,,10.67,10.67,,5.5,5.5,
